sku,name,family,role,category,reason
"EX-80-KVM","1080p60Hz UTP Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX3-100-EARC","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX3-100-EARC","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"CAB-USBC-1M","1m/3.2ft USB-C to C Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-1M","1m/3.2ft USB-C to C Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-2M","2m/6.5ft USB-C to C Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-2M","2m/6.5ft USB-C to C Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-5M","5m/16.40ft USB-C to C cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-5M","5m/16.40ft USB-C to C cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"EXP-MX-0402-H2","4K60Hz 4:4:4 4x2 HDMI Matrix Switch","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"EXP-MX-0402-H2","4K60Hz 4:4:4 4x2 HDMI Matrix Switch","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"SW-0201-8K","8K60Hz 4:4:4 2x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0201-8K","8K60Hz 4:4:4 2x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0401-8K","8K60Hz 4:4:4 4x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0401-8K","8K60Hz 4:4:4 4x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0401-H2","4K60Hz 4:4:4 4x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0401-H2","4K60Hz 4:4:4 4x1 HDMI Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"HALO-60","Compact USB Speakerphone","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-60","Compact USB Speakerphone","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-80","USB/Bluetooth Speakerphone","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-80","USB/Bluetooth Speakerphone","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-COM-MIC","Apollo TM companion mic","HALO","HALO microphone accessory","Audio / UC","HALO SKU prefix"
"HALO-COM-MIC","Apollo TM companion mic","HALO","HALO microphone accessory","Audio / UC","HALO SKU prefix"
"HALO-VX10-V2","HALO Video Bar mini","HALO","HALO video bar","Audio / UC","HALO SKU prefix"
"HALO-VX10-V2","HALO Video Bar mini","HALO","HALO video bar","Audio / UC","HALO SKU prefix"
"IDB-200-MS","Compact In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-200-MS","Compact In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-300","Dual Channel CableBox","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-300","Dual Channel CableBox","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-300-BTN","Dual Channel CableBox","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-300-BTN","Dual Channel CableBox","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS","Flip Up In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS","Flip Up In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS-C","Flip Up In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS-C","Flip Up In-Desk Connectivity","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-CBL-SPINE","Under Desk Cable Management 'SPINE' for IDB Series (Adjustable up to 36"")","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-CBL-SPINE","Under Desk Cable Management 'SPINE' for IDB Series (Adjustable up to 36"")","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-HDMI-C","HDMI","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-HDMI-C","HDMI","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-K2-C","Carrier Keystone 2 ports","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-K2-C","Carrier Keystone 2 ports","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-PWR-SCH","2m Wieland to Schuko Power Supply Cable For IDB-MS Series (Schuko Plug)","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-PWR-SCH","2m Wieland to Schuko Power Supply Cable For IDB-MS Series (Schuko Plug)","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-PWR-UK","2m Wieland to UK Power Supply Cable For IDB-MS Series (UK Plug)","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-PWR-UK","2m Wieland to UK Power Supply Cable For IDB-MS Series (UK Plug)","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-RJ45-C","RJ45 CAT6","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-RJ45-C","RJ45 CAT6","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-USBA-C","USB 3.0 type A","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-USBA-C","USB 3.0 type A","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-USBC-C","USB 3.2 type C","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-USBC-C","USB 3.2 type C","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"MX-0402-MST","Synergy 4K60Hz HDR 4x2 HDMI & USB-C Matrix Switcher with MST","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0402-MST","Synergy 4K60Hz HDR 4x2 HDMI & USB-C Matrix Switcher with MST","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0403-H3-MST","Synergy 4K60Hz HDR 4x3 HDMI & USB-C Matrix Switcher with MST & HDBaseT 3.0 Output","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0403-H3-MST","Synergy 4K60Hz HDR 4x3 HDMI & USB-C Matrix Switcher with MST & HDBaseT 3.0 Output","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0404-HDMI","4K60Hz 4:4:4 4x4 HDMI Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0404-HDMI","4K60Hz 4:4:4 4x4 HDMI Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0404-KIT","4K60Hz 4:2:0 4x4 (3 HDBaseT TM , 1 HDMI) Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0404-KIT","4K60Hz 4:2:0 4x4 (3 HDBaseT TM , 1 HDMI) Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0404-SCL","4K60Hz 4:4:4 4x4 HDMI Matrix","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0404-SCL","4K60Hz 4:4:4 4x4 HDMI Matrix","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0804-EDC","4K60Hz 4:4:4 8x4 Seamless Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0804-EDC","4K60Hz 4:4:4 8x4 Seamless Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0808-H2A-MK2","4K60Hz 4:4:4 8x8 HDMI Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-H2A-MK2","4K60Hz 4:4:4 8x8 HDMI Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-KIT-V2","4K60Hz 4:2:0 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-KIT-V2","4K60Hz 4:2:0 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-SCL","4K60 4:4:4 8x8 Seamless Scaling HDMI Matrix with USB-C","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0808-SCL","4K60 4:4:4 8x8 Seamless Scaling HDMI Matrix with USB-C","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0812-SCL","4K60 4:4:4 8x12 Advanced Seamless Scaling HDMI Matrix","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0812-SCL","4K60 4:4:4 8x12 Advanced Seamless Scaling HDMI Matrix","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-1007-HYB","4K60Hz 4:4:4 10x7 Seamless Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-1007-HYB","4K60Hz 4:4:4 10x7 Seamless Matrix","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-1616-SCL","16 Slot - 4K60Hz 4:4:4 Seamless Empty Custom Matrix Chassis","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-1616-SCL","16 Slot - 4K60Hz 4:4:4 Seamless Empty Custom Matrix Chassis","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MXV-0404-H2A-KIT","4K60Hz 4:4:4 4x4 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0404-H2A-KIT","4K60Hz 4:4:4 4x4 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-70-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-70-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-KIT","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix Kit w/ 6 standard receivers & 2 Scaling receivers","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-KIT","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix Kit w/ 6 standard receivers & 2 Scaling receivers","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"NHD-TOUCH","Free iPad & Android Control App for NetworkHD 100, 200 & 400 Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-TOUCH","Free iPad & Android Control App for NetworkHD 100, 200 & 400 Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-000-RACK4","6U/12 Slot Rack Mount for all NetworkHD Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-000-RACK4","6U/12 Slot Rack Mount for all NetworkHD Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-0401-MV","NetworkHD 4-Input 4K60 Multiview Switcher","NetworkHD 500","NetworkHD multiview processor","AV-over-IP processing","NHD-0401-MV specific SKU"
"NHD-0401-MV","NetworkHD 4-Input 4K60 Multiview Switcher","NetworkHD 500","NetworkHD multiview processor","AV-over-IP processing","NHD-0401-MV specific SKU"
"NHD-120-IW-TX","4K30Hz 2-Gang In-Wall Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-IW-TX","4K30Hz 2-Gang In-Wall Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX","4K30Hz Decoder","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX","4K30Hz Decoder","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-TX","4K30Hz Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-TX","4K30Hz Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-124-TX","4K30Hz Quad Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-124-TX","4K30Hz Quad Encoder","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-140-RACK-1U","1U/2 Slot Rack Mount for NHD-140-TX &NHD-124-TX Quad Encoder","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-140-RACK-1U","1U/2 Slot Rack Mount for NHD-140-TX &NHD-124-TX Quad Encoder","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-150-RX","4K30Hz Decoder","NetworkHD 100","NetworkHD 100 multiview decoder","AV-over-IP","NHD-1xx SKU"
"NHD-150-RX","4K30Hz Decoder","NetworkHD 100","NetworkHD 100 multiview decoder","AV-over-IP","NHD-1xx SKU"
"NHD-500-DNT-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-DNT-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-E-RX","Lite 4K60Hz 4:4:4 Decoder","NetworkHD 500","NetworkHD 500 decoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-E-RX","Lite 4K60Hz 4:4:4 Decoder","NetworkHD 500","NetworkHD 500 decoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-E-TX","Lite 4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-E-TX","Lite 4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-IW-TX","4K60Hz 4:4:4 2-Gang In-Wall Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-IW-TX","4K60Hz 4:4:4 2-Gang In-Wall Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-RX","4K60Hz 4:4:4 Decoder","NetworkHD 500","NetworkHD 500 decoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-RX","4K60Hz 4:4:4 Decoder","NetworkHD 500","NetworkHD 500 decoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-510-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-510-TX","4K60Hz 4:4:4 Encoder","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-600-TRX","4K60Hz 4:4:4 SDVoE Transceiver","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TRX","4K60Hz 4:4:4 SDVoE Transceiver","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TRXF","4K60Hz 4:4:4 SDVoE Fiber Transceiver","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TRXF","4K60Hz 4:4:4 SDVoE Fiber Transceiver","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-RX","4K60Hz 4:4:4 SDVoE Decoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-RX","4K60Hz 4:4:4 SDVoE Decoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-TX","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-TX","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-TX-V2","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-TX-V2","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-CTL-PRO-V2","Pro Controller for NetworkHD Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-CTL-PRO-V2","Pro Controller for NetworkHD Series","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK-1U","1U/2 Slot Rack Mount for NetworkHD TM 110/120/500/600/CTL","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK-1U","1U/2 Slot Rack Mount for NetworkHD TM 110/120/500/600/CTL","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK4-BLK","Blanking Plate for NHD-000-RACK4","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK4-BLK","Blanking Plate for NHD-000-RACK4","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-USB-TRX","USB 2.0 over IP Transceiver","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-USB-TRX","USB 2.0 over IP Transceiver","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"SW-130-TX","4K60Hz 4:2:0 HDBaseT Receiver","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX","4K60Hz 4:2:0 HDBaseT Receiver","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"RX3-100","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT 3.0 Receiver","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"RX3-100","4K60Hz 4:4:4,5K30Hz 4:4:4 HDBaseT 3.0 Receiver","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"MXV-70","4K60Hz 4:4:4 HDBaseT Receiver","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-70","4K60Hz 4:4:4 HDBaseT Receiver","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-70","4K60Hz 4:4:4 HDBaseT Scaling Receiver","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-70","4K60Hz 4:4:4 HDBaseT Scaling Receiver","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"SW-0204-VW","4K 60Hz 4-Output Video Wall","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-0204-VW","4K 60Hz 4-Output Video Wall","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-0206-VW","4K 60Hz 6-Output Video Wall","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-0206-VW","4K 60Hz 6-Output Video Wall","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-120-TX3","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 Transmitter","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 Transmitter","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3-UK","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 2-Gang In-Wall Transmitter","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3-UK","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 2-Gang In-Wall Transmitter","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-UK","3-Input 4K60Hz 4:2:0 In-wall HDBaseT TM Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-UK","3-Input 4K60Hz 4:2:0 In-wall HDBaseT TM Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-220-TX-W","Synergy TM 2-Input 4K30Hz Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-220-TX-W","Synergy TM 2-Input 4K30Hz Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-510-TX","Synergy TM 4-input 4K60Hz 4:2:0 HDBaseT TM Switcher","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
